<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BCHUSDT,d,20191128,000000,220.0800,224.6000,212.0200,217.4100,11556.80086,217.4100,5718
BCHUSDT,d,20191129,000000,217.4000,226.4900,216.9000,224.0000,50234.55027,224.0000,5718
BCHUSDT,d,20191130,000000,223.8900,224.6700,214.4100,217.4500,47622.18011,217.4500,5718
BCHUSDT,d,20191201,000000,217.4300,218.1800,209.2400,214.3600,46721.57914,214.3600,5718
BCHUSDT,d,20191202,000000,214.3700,216.2500,209.6800,213.6700,43397.32559,213.6700,5718
BCHUSDT,d,20191203,000000,213.7200,215.9500,210.9900,211.5000,28430.46455,211.5000,5718
BCHUSDT,d,20191204,000000,211.4700,219.6800,202.5000,207.4700,93351.89396,207.4700,5718
BCHUSDT,d,20191205,000000,207.3600,214.4600,200.8800,211.5000,58415.66785,211.5000,5718
BCHUSDT,d,20191206,000000,211.6000,214.0000,209.2000,212.8400,36081.71398,212.8400,5718
BCHUSDT,d,20191207,000000,212.9000,216.6200,210.0100,211.0000,26962.16937,211.0000,5718
BCHUSDT,d,20191208,000000,210.9700,214.8900,208.0000,212.5800,23530.67976,212.5800,5718
BCHUSDT,d,20191209,000000,212.4200,215.0800,205.4000,208.2700,36474.63924,208.2700,5718
BCHUSDT,d,20191210,000000,208.1800,209.3500,203.7100,206.5400,27927.89853,206.5400,5718
BCHUSDT,d,20191211,000000,206.6300,207.9900,204.0500,207.0100,15264.51196,207.0100,5718
BCHUSDT,d,20191212,000000,207.1000,207.9700,203.6700,206.7900,26540.59504,206.7900,5718
BCHUSDT,d,20191213,000000,206.6200,212.7100,206.2500,211.3200,33534.36619,211.3200,5718
BCHUSDT,d,20191214,000000,211.4400,213.1100,204.6700,205.8200,34067.96904,205.8200,5718
BCHUSDT,d,20191215,000000,205.8700,211.7200,204.8800,206.8800,37076.8692,206.8800,5718
BCHUSDT,d,20191216,000000,206.8700,208.6700,193.8500,196.2700,82405.61891,196.2700,5718
BCHUSDT,d,20191217,000000,196.2600,196.9600,172.1000,176.4500,127025.58764,176.450,5718
BCHUSDT,d,20191218,000000,176.4500,191.7500,169.6600,189.0000,144833.0183,189.0000,5718
BCHUSDT,d,20191219,000000,188.9000,191.0000,183.4900,185.9600,54337.20347,185.960,5718
BCHUSDT,d,20191220,000000,186.0700,190.7200,183.8200,187.4400,43236.75189,187.440,5718
BCHUSDT,d,20191221,000000,187.3900,188.4300,185.3300,186.2100,19488.47281,186.2100,5718
BCHUSDT,d,20191222,000000,186.2100,197.4000,185.7300,196.2700,54636.39805,196.2700,5718
BCHUSDT,d,20191223,000000,196.2800,198.0000,188.2000,189.6100,57146.5522,189.610,5718
BCHUSDT,d,20191224,000000,189.6600,191.6800,185.0000,188.3000,50765.49176,188.3000,5718
BCHUSDT,d,20191225,000000,188.3100,188.7800,182.6900,185.3400,31724.59117,185.340,5718
BCHUSDT,d,20191226,000000,185.3400,194.9900,184.0100,187.7900,48012.30969,187.7900,5718
BCHUSDT,d,20191227,000000,187.7000,203.9200,186.8300,203.2100,120980.63718,203.210,5718
BCHUSDT,d,20191228,000000,203.3300,210.0000,202.5300,206.2700,81593.20921,206.270,5718
BCHUSDT,d,20191229,000000,206.2600,215.9400,204.3400,212.3400,80763.47218,212.3400,5718
BCHUSDT,d,20191230,000000,212.2900,215.0000,205.6500,208.6200,76221.01161,208.6200,5718
BCHUSDT,d,20191231,000000,208.6100,214.1100,201.7300,204.5200,89320.43252,204.5200,5718
BCHUSDT,d,20200101,000000,204.5700,209.0000,203.1000,204.4400,43234.9585,204.4400,5718
BCHUSDT,d,20200102,000000,204.4300,205.5300,192.8000,195.4900,76481.1405,195.4900,5718
BCHUSDT,d,20200103,000000,195.4900,226.0000,191.9000,222.4300,236151.17473,222.4300,5718
BCHUSDT,d,20200104,000000,222.3800,227.6400,219.5600,224.4700,110315.64423,224.4700,5718
BCHUSDT,d,20200105,000000,224.4500,227.6300,220.6000,222.7900,90338.28418,222.7900,5718
BCHUSDT,d,20200106,000000,222.8200,247.0000,222.2000,244.2500,177504.59026,244.2500,5718
BCHUSDT,d,20200107,000000,244.2600,246.9000,232.0000,242.3000,180860.80127,242.3000,5718
BCHUSDT,d,20200108,000000,242.4800,255.1900,229.5900,240.1900,238290.07035,240.1900,5718
BCHUSDT,d,20200109,000000,240.1300,243.8900,231.2600,238.0100,109003.33057,238.0100,5718
BCHUSDT,d,20200110,000000,238.0600,275.0000,231.1300,271.8300,311448.58074,271.8300,5718
BCHUSDT,d,20200111,000000,271.9500,279.4900,258.6800,260.8300,199691.49268,260.8300,5718
BCHUSDT,d,20200112,000000,260.6900,271.3900,257.8500,270.7700,105180.61526,270.7700,5718
BCHUSDT,d,20200113,000000,270.8500,272.9900,261.0600,267.2100,91495.50923,267.2100,5718
BCHUSDT,d,20200114,000000,267.2400,368.0800,267.1400,348.3500,827847.55896,348.3500,5718
BCHUSDT,d,20200115,000000,348.3500,362.8900,312.6200,339.9900,498653.95613,339.9900,5718
BCHUSDT,d,20200116,000000,340.0000,342.9600,309.2000,326.7600,247311.30454,326.7600,5718
BCHUSDT,d,20200117,000000,326.5800,383.9200,319.4600,368.0000,395293.4218,368.0000,5718
BCHUSDT,d,20200118,000000,367.9800,405.8600,330.0000,339.0100,482356.86961,339.010,5718
BCHUSDT,d,20200119,000000,338.7900,366.2700,319.7800,339.6100,305020.88339,339.6100,5718
BCHUSDT,d,20200120,000000,339.5400,352.9400,322.4600,343.3900,171058.37052,343.390,5718
BCHUSDT,d,20200121,000000,343.3800,348.2200,332.0500,343.5000,107803.73807,343.500,5718
BCHUSDT,d,20200122,000000,343.5000,354.5200,339.1600,349.2200,96093.49399,349.2200,5718
BCHUSDT,d,20200123,000000,349.1100,350.1500,316.3600,325.2100,135190.02823,325.2100,5718
BCHUSDT,d,20200124,000000,325.0900,327.9500,297.0000,318.8300,217601.81697,318.830,5718
BCHUSDT,d,20200125,000000,318.8200,319.2700,305.1000,310.1300,100771.89962,310.1300,5718
BCHUSDT,d,20200126,000000,310.2900,349.9600,307.4300,348.2400,176481.76156,348.240,5718
BCHUSDT,d,20200127,000000,348.2500,378.1900,347.6500,362.8600,248777.01991,362.8600,5718
BCHUSDT,d,20200128,000000,362.9000,385.3800,360.2600,378.6000,210830.79139,378.600,5718
BCHUSDT,d,20200129,000000,378.4300,396.3100,375.8000,380.2600,200640.1964,380.260,5718
