<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BTCUSDT,d,20170817,000000,4261.4800,4485.3900,4200.7400,4285.0800,795.150377,4285.0800,5718
BTCUSDT,d,20170818,000000,4285.0800,4371.5200,3938.7700,4108.3700,1199.888264,4108.3700,5718
BTCUSDT,d,20170819,000000,4108.3700,4184.6900,3850.0000,4139.9800,381.309763,4139.9800,5718
BTCUSDT,d,20170820,000000,4120.9800,4211.0800,4032.6200,4086.2900,467.083022,4086.2900,5718
BTCUSDT,d,20170821,000000,4069.1300,4119.6200,3911.7900,4016.0000,691.74306,4016.0000,5718
BTCUSDT,d,20170822,000000,4016.0000,4104.8200,3400.0000,4040.0000,966.684858,4040.0000,5718
BTCUSDT,d,20170823,000000,4040.0000,4265.8000,4013.8900,4114.0100,1001.136565,4114.0100,5718
BTCUSDT,d,20170824,000000,4147.0000,4371.6800,4085.0100,4316.0100,787.418753,4316.0100,5718
BTCUSDT,d,20170825,000000,4316.0100,4453.9100,4247.4800,4280.6800,573.61274,4280.6800,5718
BTCUSDT,d,20170826,000000,4280.7100,4367.0000,4212.4100,4337.4400,228.108068,4337.4400,5718
BTCUSDT,d,20170827,000000,4332.5100,4400.0000,4285.5400,4310.0100,350.692585,4310.0100,5718
BTCUSDT,d,20170828,000000,4310.0100,4399.8200,4124.5400,4386.6900,603.841616,4386.6900,5718
BTCUSDT,d,20170829,000000,4353.6500,4625.8500,4313.5500,4587.4800,603.545028,4587.4800,5718
BTCUSDT,d,20170830,000000,4564.5200,4647.5100,4416.0100,4555.1400,808.468771,4555.1400,5718
BTCUSDT,d,20170831,000000,4555.1400,4745.4200,4555.1400,4724.8900,556.956802,4724.8900,5718
BTCUSDT,d,20170901,000000,4689.8900,4885.5500,4654.8800,4834.9100,560.666366,4834.9100,5718
BTCUSDT,d,20170902,000000,4796.1600,4939.1900,4286.8700,4472.1400,929.148595,4472.1400,5718
BTCUSDT,d,20170903,000000,4508.5000,4714.7600,4298.3300,4509.0800,691.216198,4509.0800,5718
