<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Bimeh,d,20091010,000000,1029.9000,1029.9000,1029.9000,1029.9000,8050000,1029.9000,5718
Bimeh,d,20091011,000000,1030.5000,1060.7000,1030.5000,1060.7000,13023262,1060.7000,5718
Bimeh,d,20091012,000000,1092.5000,1092.5000,1092.5000,1092.5000,13197534,1092.5000,5718
Bimeh,d,20091013,000000,1117.9000,1125.2000,1117.9000,1125.2000,13358413,1125.2000,5718
Bimeh,d,20091017,000000,1158.9000,1158.9000,1158.9000,1158.9000,6917415,1158.9000,5718
Bimeh,d,20091018,000000,1193.5000,1193.5000,1193.5000,1193.5000,584298,1193.5000,5718
Bimeh,d,20091019,000000,1204.3000,1224.6000,1204.3000,1224.6000,180383,1224.6000,5718
Bimeh,d,20091020,000000,1232.4000,1255.4000,1232.4000,1255.4000,174721,1255.4000,5718
Bimeh,d,20091021,000000,1255.4000,1293.0000,1255.4000,1293.0000,272285,1293.0000,5718
Bimeh,d,20091024,000000,1331.8000,1331.8000,1331.8000,1331.8000,1370640,1331.8000,5718
Bimeh,d,20091025,000000,1371.7000,1371.7000,1371.7000,1371.7000,3316969,1371.7000,5718
Bimeh,d,20091026,000000,1412.7000,1412.7000,1412.5000,1412.5000,24787091,1412.5000,5718
Bimeh,d,20091027,000000,1451.5000,1452.4000,1451.5000,1452.4000,4696609,1452.4000,5718
Bimeh,d,20091028,000000,1487.6000,1487.6000,1452.7000,1452.7000,9859803,1452.7000,5718
Bimeh,d,20091031,000000,1442.2000,1446.6000,1442.2000,1444.8000,4719922,1444.8000,5718
Bimeh,d,20091101,000000,1478.8000,1482.3000,1478.8000,1482.3000,3482570,1482.3000,5718
Bimeh,d,20091102,000000,1516.3000,1522.8000,1503.8000,1503.8000,8015003,1503.8000,5718
Bimeh,d,20091103,000000,1461.4000,1461.4000,1460.6000,1460.6000,423392,1460.6000,5718
