<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140311,000000,1.38750,1.38777,1.38326,1.38587,86498
20140312,000000,1.38585,1.39133,1.38423,1.39011,100753
20140313,000000,1.39013,1.39657,1.38446,1.38655,155575
20140314,000000,1.38655,1.39365,1.38464,1.39088,148587
20140317,000000,1.39033,1.39466,1.38779,1.39205,96400
20140318,000000,1.39205,1.39420,1.38787,1.39324,112487
20140319,000000,1.39323,1.39333,1.38086,1.38315,130480
20140320,000000,1.38316,1.38439,1.37480,1.37768,125187
20140321,000000,1.37769,1.38097,1.37646,1.37952,83377
20140324,000000,1.37963,1.38749,1.37592,1.38375,103370
20140325,000000,1.38377,1.38461,1.37479,1.38252,141022
20140326,000000,1.38252,1.38266,1.37754,1.37778,107643
20140327,000000,1.37778,1.37959,1.37274,1.37393,124765
20140328,000000,1.37393,1.37721,1.37037,1.37507,102268
20140331,000000,1.37609,1.38079,1.37182,1.37675,126261
20140401,000000,1.37675,1.38143,1.37669,1.37908,88950
20140402,000000,1.37901,1.38193,1.37521,1.37658,83596
20140403,000000,1.37659,1.38055,1.36970,1.37185,147578
20140404,000000,1.37186,1.37302,1.36716,1.37010,136316
20140407,000000,1.36919,1.37475,1.36919,1.37403,68362
20140408,000000,1.37403,1.38105,1.37361,1.37959,103983
20140409,000000,1.37945,1.38611,1.37788,1.38537,119769
20140410,000000,1.38538,1.38981,1.38348,1.38846,111113
20140411,000000,1.38846,1.39048,1.38623,1.38830,95911
20140414,000000,1.38378,1.38619,1.38071,1.38170,109435
20140415,000000,1.38170,1.38323,1.37889,1.38132,101834
20140416,000000,1.38132,1.38504,1.38026,1.38135,93798
20140417,000000,1.38136,1.38637,1.38099,1.38120,82804
20140418,000000,1.38121,1.38212,1.38068,1.38114,16263
20140421,000000,1.38063,1.38293,1.37859,1.37915,32145
20140422,000000,1.37915,1.38237,1.37839,1.38039,69334
20140423,000000,1.38039,1.38536,1.37983,1.38153,98381
20140424,000000,1.38153,1.38422,1.37903,1.38303,90659
20140425,000000,1.38303,1.38472,1.38258,1.38315,60629
20140428,000000,1.38428,1.38784,1.38136,1.38497,87659
20140429,000000,1.38497,1.38781,1.38045,1.38107,93508
20140430,000000,1.38107,1.38756,1.37705,1.38642,132399
20140501,000000,1.38644,1.38880,1.38617,1.38679,50914
20140502,000000,1.38679,1.38806,1.38110,1.38701,105649
20140505,000000,1.38813,1.38850,1.38634,1.38727,60644
20140506,000000,1.38741,1.39503,1.38710,1.39265,100158
20140507,000000,1.39265,1.39375,1.39085,1.39087,91998
20140508,000000,1.39085,1.39927,1.38319,1.38383,167986
20140509,000000,1.38385,1.38433,1.37436,1.37571,115711
20140512,000000,1.37474,1.37738,1.37474,1.37560,68857
20140513,000000,1.37560,1.37704,1.36879,1.37015,136032
20140514,000000,1.37017,1.37297,1.36969,1.37132,106077
20140515,000000,1.37134,1.37314,1.36472,1.37076,154995
20140516,000000,1.37076,1.37259,1.36843,1.36947,90184
20140519,000000,1.36894,1.37331,1.36884,1.37075,92590
20140520,000000,1.37075,1.37127,1.36768,1.37001,80757
20140521,000000,1.37002,1.37224,1.36332,1.36853,114926
20140522,000000,1.36855,1.36868,1.36442,1.36543,100279
