<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220527,103500,32610.00,32628.66,32609.00,32617.25,402
20220527,104000,32616.50,32621.66,32595.16,32610.40,294
20220527,104500,32609.63,32613.85,32598.43,32602.50,284
20220527,105000,32601.63,32633.57,32599.63,32628.90,310
20220527,105500,32627.80,32632.00,32612.33,32615.50,338
20220527,110000,32615.25,32617.50,32602.50,32612.00,331
20220527,110500,32611.66,32640.16,32603.00,32633.60,343
20220527,111000,32634.00,32639.50,32615.50,32633.25,379
20220527,111500,32633.33,32655.00,32617.50,32626.25,398
20220527,112000,32627.60,32654.50,32627.50,32650.50,380
20220527,112500,32651.25,32674.50,32649.27,32670.40,543
20220527,113000,32670.00,32697.77,32670.00,32691.71,395
20220527,113500,32692.00,32702.06,32677.50,32678.00,351
20220527,114000,32677.43,32688.14,32671.00,32674.33,316
20220527,114500,32674.50,32674.50,32658.75,32659.50,317
20220527,115000,32661.33,32667.50,32651.20,32664.50,309
20220527,115500,32664.20,32683.50,32662.50,32680.60,290
20220527,120000,32681.50,32683.33,32652.00,32654.00,347
20220527,120500,32654.50,32655.57,32643.50,32649.50,279
20220527,121000,32648.20,32650.25,32636.50,32637.66,259
20220527,121500,32637.00,32652.00,32635.80,32650.33,212
20220527,122000,32650.12,32655.40,32645.00,32651.50,192
20220527,122500,32651.33,32674.00,32649.66,32670.40,225
20220527,123000,32669.60,32677.16,32657.50,32670.60,258
20220527,123500,32670.20,32678.60,32664.33,32676.00,194
20220527,124000,32676.33,32690.71,32672.60,32685.60,256
20220527,124500,32685.40,32698.50,32674.33,32694.62,222
20220527,125000,32693.63,32710.66,32693.63,32709.50,329
20220527,125500,32710.25,32734.87,32710.25,32716.40,452
20220527,130000,32716.75,32717.25,32669.16,32688.28,374
20220527,130500,32688.50,32688.62,32661.25,32661.25,303
20220527,131000,32661.60,32685.50,32661.50,32680.63,278
20220527,131500,32680.50,32688.00,32663.71,32663.71,252
20220527,132000,32662.00,32671.00,32655.75,32670.00,262
20220527,132500,32669.78,32676.78,32664.43,32673.50,239
20220527,133000,32672.78,32675.40,32660.43,32665.12,208
20220527,133500,32665.33,32669.50,32658.50,32663.60,222
20220527,134000,32663.66,32673.83,32658.60,32667.80,217
20220527,134500,32668.40,32669.50,32656.60,32658.00,214
20220527,135000,32657.50,32690.40,32650.50,32684.84,382
20220527,135500,32684.75,32700.62,32675.00,32693.00,341
20220527,140000,32692.60,32692.60,32664.12,32664.50,358
20220527,140500,32664.00,32678.00,32657.50,32669.60,309
20220527,141000,32669.33,32678.50,32659.60,32672.66,270
20220527,141500,32672.00,32675.00,32643.50,32652.25,355
20220527,142000,32652.00,32654.40,32634.33,32641.00,421
20220527,142500,32641.50,32655.40,32637.63,32653.50,343
20220527,143000,32653.00,32654.50,32633.25,32641.75,308
20220527,143500,32643.63,32650.28,32633.00,32640.66,310
20220527,144000,32640.40,32663.00,32638.50,32658.63,267
20220527,144500,32658.00,32658.80,32628.40,32634.50,262
20220527,145000,32633.00,32635.66,32602.00,32613.40,396
20220527,145500,32614.50,32617.25,32604.00,32611.00,349
20220527,150000,32611.66,32631.50,32602.00,32630.25,485
20220527,150500,32629.83,32650.50,32629.50,32649.33,439
20220527,151000,32650.16,32659.25,32645.50,32649.14,374
20220527,151500,32649.60,32649.66,32634.33,32637.28,352
20220527,152000,32638.50,32660.45,32635.60,32651.60,359
20220527,152500,32651.71,32653.33,32631.63,32637.33,287
20220527,153000,32635.50,32696.28,32614.63,32673.66,1086
20220527,153500,32672.78,32739.16,32669.00,32727.09,808
20220527,154000,32727.50,32727.71,32709.20,32722.00,596
20220527,154500,32722.33,32762.16,32720.89,32759.33,644
20220527,155000,32759.71,32762.91,32737.50,32745.50,493
20220527,155500,32745.40,32755.12,32736.50,32754.50,309
20220527,160000,32754.71,32763.50,32737.75,32741.50,423
20220527,160500,32740.60,32757.25,32740.15,32750.00,364
20220527,161000,32750.50,32757.07,32741.33,32754.00,302
20220527,161500,32753.50,32760.35,32727.90,32731.75,371
20220527,162000,32731.50,32733.44,32700.37,32703.50,356
20220527,162500,32704.25,32711.25,32693.40,32693.50,380
20220527,163000,32694.13,32716.30,32672.30,32705.08,1472
20220527,163500,32706.60,32783.46,32701.65,32776.05,1597
20220527,164000,32776.13,32797.55,32737.46,32759.30,1615
20220527,164500,32759.20,32834.40,32742.63,32828.40,1631
20220527,165000,32827.51,32884.40,32804.60,32881.55,1470
20220527,165500,32881.60,32905.30,32870.30,32878.00,1192
20220527,170000,32877.80,32890.96,32859.80,32883.13,1492
20220527,170500,32884.08,32887.65,32838.71,32862.40,1325
20220527,171000,32859.51,32901.08,32852.60,32892.05,1151
20220527,171500,32891.93,32918.96,32888.55,32907.40,1113
20220527,172000,32906.96,32926.25,32894.63,32906.30,1052
20220527,172500,32906.13,32910.30,32872.96,32878.90,1038
20220527,173000,32879.13,32899.13,32868.13,32871.55,972
